--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
330 Flygon     : Sand Tomb at level 1, Mean Look at level 1, Miracle Eye at level 1, Karate Chop at level 1, Fire Pledge at level 4, Foresight at level 7, Circle Throw at level 10, Bite at level 13, Lava Plume at level 17, Razor Wind at level 21, Hyper Voice at level 25, Safeguard at level 29, Thunderbolt at level 34, Power Swap at level 35, Bonemerang at level 39, Thunder at level 44, SolarBeam at level 45, Freeze Shock at level 49, Protect at level 55
331 Cacnea     : Mud-Slap at level 1, Twister at level 1, Fire Pledge at level 1, Round at level 1, Dragon Tail at level 5, Force Palm at level 9, Flame Burst at level 13, Sing at level 17, Poison Jab at level 21, Worry Seed at level 25, Secret Sword at level 29, Psychic at level 33, Foul Play at level 37, Thunderbolt at level 41, Fake Tears at level 45, Sludge Wave at level 49, Fire Blast at level 53, Hydro Cannon at level 57
332 Cacturne   : Snarl at level 1, Dragon Tail at level 1, Avalanche at level 1, Frustration at level 1, Wing Attack at level 1, Helping Hand at level 5, Bone Club at level 9, Steel Wing at level 13, Volt Switch at level 17, Beat Up at level 21, Gastro Acid at level 25, Fire Punch at level 29, Blaze Kick at level 35, Tail Whip at level 41, Lucky Chant at level 47, Sludge Wave at level 53, Meteor Mash at level 59, Blizzard at level 65, Mega Kick at level 71
333 Swablu     : Clear Smog at level 1, ViceGrip at level 1, Rolling Kick at level 1, Silver Wind at level 1, Horn Attack at level 4, Spark at level 8, Horn Leech at level 10, Discharge at level 13, Growth at level 15, Secret Sword at level 18, Minimize at level 21, Icicle Crash at level 25, Night Shade at level 29, Mega Kick at level 34, Destiny Bond at level 39, Sunny Day at level 42, V-create at level 48
334 Altaria    : Clamp at level 1, Pin Missile at level 1, Confusion at level 1, Circle Throw at level 1, Shock Wave at level 1, Nature Power at level 4, Leaf Tornado at level 8, Horn Attack at level 10, Stealth Rock at level 13, Cosmic Power at level 15, Aurora Beam at level 18, Mist Ball at level 21, Cotton Guard at level 25, Night Slash at level 29, X-Scissor at level 34, Body Slam at level 35, Sludge Bomb at level 42, Magma Storm at level 48, Glare at level 57, Hydro Pump at level 64
335 Zangoose   : Nightmare at level 1, Pound at level 1, Dark Void at level 1, Mega Drain at level 1, Mud Sport at level 5, Lunar Dance at level 8, Clear Smog at level 12, BubbleBeam at level 15, Dragon Claw at level 19, Counter at level 22, Mega Punch at level 26, Trick at level 29, Egg Bomb at level 33, Earthquake at level 36, Recover at level 40, Wood Hammer at level 43, Teleport at level 47
336 Seviper    : Water Gun at level 1, Rock Tomb at level 1, Hex at level 1, Air Cutter at level 1, Heart Swap at level 5, Dark Void at level 9, Avalanche at level 12, Gravity at level 16, Flame Wheel at level 20, Drain Punch at level 23, Whirlwind at level 27, Heal Block at level 31, Bullet Seed at level 34, Captivate at level 38, Heal Order at level 42, Aqua Tail at level 45, DynamicPunch at level 49, Sky Attack at level 53
337 Lunatone   : Punishment at level 1, Grass Knot at level 1, Fire Pledge at level 1, Faint Attack at level 1, Bulldoze at level 5, Mud Bomb at level 9, Mirror Shot at level 13, Ice Fang at level 17, Secret Power at level 21, Iron Defense at level 25, Quick Guard at level 29, Hyper Fang at level 33, Bug Buzz at level 37, Jump Kick at level 41, Mega Kick at level 45, Confuse Ray at level 49, Draco Meteor at level 53
338 Solrock    : Frost Breath at level 1, AncientPower at level 1, Charm at level 1, Low Sweep at level 1, Circle Throw at level 5, Chip Away at level 9, Harden at level 13, Crush Claw at level 17, Cotton Guard at level 21, Air Slash at level 25, Muddy Water at level 29, Hammer Arm at level 33, DynamicPunch at level 37, Flare Blitz at level 41, Mega Kick at level 45, Sky Attack at level 49, Blast Burn at level 53
339 Barboach   : Vine Whip at level 1, Synthesis at level 1, Low Sweep at level 1, Psycho Cut at level 1, Conversion at level 6, Signal Beam at level 6, Fire Punch at level 10, Razor Shell at level 14, Razor Wind at level 18, Shell Smash at level 22, Shadow Ball at level 26, Crabhammer at level 31, Dragon Dance at level 31, Aura Sphere at level 35, Close Combat at level 39, Hi Jump Kick at level 43, Blue Flare at level 47
340 Whiscash   : Spore at level 1, Clear Smog at level 1, Mean Look at level 1, Synthesis at level 1, Hex at level 1, Electroweb at level 6, Heart Stamp at level 6, Screech at level 10, Punishment at level 14, Trick at level 18, Bulldoze at level 22, Memento at level 26, Sweet Scent at level 33, Vital Throw at level 33, Stealth Rock at level 39, Uproar at level 45, Iron Tail at level 51, V-create at level 57
341 Corphish   : Helping Hand at level 1, Safeguard at level 1, Fury Cutter at level 1, Covet at level 1, Metronome at level 7, Morning Sun at level 10, Shadow Claw at level 13, Crush Claw at level 20, Gyro Ball at level 23, Shift Gear at level 26, Extrasensory at level 32, Icicle Crash at level 35, Flamethrower at level 38, Aeroblast at level 44, Flare Blitz at level 47, Hydro Cannon at level 53
342 Crawdaunt  : Roost at level 1, Karate Chop at level 1, Clear Smog at level 1, Confusion at level 1, Comet Punch at level 7, Low Sweep at level 10, Gravity at level 13, Dragon Rage at level 20, Facade at level 23, Scary Face at level 26, Discharge at level 30, Tri Attack at level 34, Night Daze at level 39, Earth Power at level 44, Fusion Flare at level 52, Charge at level 57, Zap Cannon at level 65
343 Baltoy     : Gastro Acid at level 1, Protect at level 1, Bullet Punch at level 1, Acid Spray at level 1, BubbleBeam at level 4, Volt Switch at level 7, Block at level 10, Tail Slap at level 13, Hyper Voice at level 17, Future Sight at level 21, Stone Edge at level 25, Earthquake at level 28, Heat Wave at level 31, Growl at level 34, Charge at level 34, Harden at level 37, Meteor Mash at level 41, Rock Polish at level 45, SolarBeam at level 49
344 Claydol    : Bubble at level 1, Pay Day at level 1, Snore at level 1, Weather Ball at level 1, Razor Leaf at level 4, Chatter at level 7, After You at level 10, Tickle at level 13, Pluck at level 17, Bite at level 21, Needle Arm at level 25, Aurora Beam at level 28, Flatter at level 31, Stomp at level 34, Aqua Ring at level 34, Fire Fang at level 36, Synchronoise at level 40, Wild Charge at level 47, Hydro Cannon at level 54, Hyper Beam at level 61
345 Lileep     : Rollout at level 1, Wing Attack at level 1, Shadow Claw at level 1, Facade at level 1, Bone Rush at level 8, Toxic at level 15, Icicle Crash at level 22, Heat Wave at level 29, Gunk Shot at level 36, Moonlight at level 43, Leer at level 50, Calm Mind at level 57, Water Spout at level 57, Magnitude at level 57, Blast Burn at level 64
346 Cradily    : Spore at level 1, Ice Shard at level 1, Meditate at level 1, Clear Smog at level 1, Revenge at level 8, Shock Wave at level 15, Sludge at level 22, Natural Gift at level 29, Volt Switch at level 36, Energy Ball at level 46, Hyper Fang at level 56, Hypnosis at level 66, Flamethrower at level 66, Sludge Wave at level 66, Wood Hammer at level 76
347 Anorith    : Psywave at level 1, Clear Smog at level 1, Magical Leaf at level 1, Low Sweep at level 1, Psybeam at level 7, Present at level 13, Magic Room at level 19, Aqua Ring at level 25, Zen Headbutt at level 31, Leaf Blade at level 37, Volt Tackle at level 43, Memento at level 49, Defog at level 55, Draco Meteor at level 61
348 Armaldo    : Wing Attack at level 1, Spider Web at level 1, Charm at level 1, Horn Attack at level 1, Spit Up at level 7, Metal Sound at level 13, Shadow Claw at level 19, Metal Burst at level 25, Natural Gift at level 31, Signal Beam at level 37, Gastro Acid at level 46, Dragon Dance at level 55, Night Shade at level 67, Egg Bomb at level 73
349 Feebas     : Frost Breath at level 1, Double Team at level 1, Acrobatics at level 1, Petal Dance at level 1, Magnitude at level 15, Rock Wrecker at level 30
350 Milotic    : Guard Swap at level 1, Stored Power at level 1, Mean Look at level 1, ThunderShock at level 1, Sing at level 5, Storm Throw at level 9, Focus Energy at level 13, Leech Seed at level 17, SmellingSalt at level 21, Ice Punch at level 25, Psychic at level 29, Baton Pass at level 33, Psystrike at level 37, Metal Burst at level 41, SolarBeam at level 45, Thrash at level 49
351 Castform   : DragonBreath at level 1, Drain Punch at level 1, Sand-Attack at level 1, Giga Drain at level 1, Autotomize at level 10, Rock Blast at level 10, X-Scissor at level 10, Crabhammer at level 15, Guillotine at level 20, Sacred Fire at level 20, Shadow Force at level 20, Miracle Eye at level 30, Swords Dance at level 40, Blue Flare at level 40, Magnet Rise at level 40
352 Kecleon    : Mirror Coat at level 1, Astonish at level 1, Pound at level 1, Snarl at level 1, Magnet Bomb at level 1, Covet at level 4, Worry Seed at level 7, Mean Look at level 10, Shadow Punch at level 14, Needle Arm at level 18, Stomp at level 22, Night Slash at level 27, Air Slash at level 32, Submission at level 37, Flash Cannon at level 43, Heat Wave at level 49, Shadow Force at level 55, Doom Desire at level 58
353 Shuppet    : Stored Power at level 1, Frost Breath at level 1, Wing Attack at level 1, Dragon Tail at level 1, PoisonPowder at level 4, U-turn at level 7, Teeter Dance at level 10, Nightmare at level 13, Horn Leech at level 16, Hyper Fang at level 19, Dig at level 22, Present at level 26, Hyper Voice at level 30, Fusion Bolt at level 34, Helping Hand at level 38, Seed Flare at level 42, Psywave at level 46, Hydro Cannon at level 50
354 Banette    : Incinerate at level 1, Stealth Rock at level 1, Psywave at level 1, False Swipe at level 1, Stun Spore at level 4, Magnet Bomb at level 7, Brine at level 10, Cotton Spore at level 13, Glaciate at level 16, Relic Song at level 19, Energy Ball at level 22, Secret Sword at level 26, Flash at level 30, Attack Order at level 34, Flamethrower at level 40, Petal Dance at level 46, Gunk Shot at level 52, Hydro Cannon at level 58
355 Duskull    : Absorb at level 1, Softboiled at level 1, Clamp at level 1, Shadow Punch at level 1, X-Scissor at level 6, Stun Spore at level 9, Trick Room at level 14, Safeguard at level 17, Icicle Crash at level 22, Skull Bash at level 25, Psystrike at level 30, Fusion Flare at level 33, Imprison at level 38, Spite at level 41, SolarBeam at level 46, Selfdestruct at level 49
356 Dusclops   : Wrap at level 1, Bubble at level 1, Ice Shard at level 1, Revenge at level 1, Seismic Toss at level 1, Quash at level 1, Bulk Up at level 1, Low Sweep at level 1, Needle Arm at level 6, Shadow Punch at level 9, Aerial Ace at level 14, Fire Fang at level 17, Facade at level 22, Discharge at level 25, Cotton Guard at level 30, Techno Blast at level 33, Guard Split at level 37, Foul Play at level 42, SolarBeam at level 49, PoisonPowder at level 58, Hurricane at level 61
357 Tropius    : Knock Off at level 1, Fake Out at level 1, Wing Attack at level 1, AncientPower at level 1, Force Palm at level 7, Mind Reader at level 11, Crush Claw at level 17, Crunch at level 21, Flamethrower at level 27, Psywave at level 31, Jump Kick at level 37, Gyro Ball at level 41, Nature Power at level 47, Disable at level 51, Brave Bird at level 57, SolarBeam at level 61, Conversion 2 at level 67, Fling at level 71
358 Chimecho   : Hypnosis at level 1, Clear Smog at level 1, Fissure at level 1, Avalanche at level 1, Brine at level 6, Sharpen at level 9, Psybeam at level 14, Spark at level 17, Mist Ball at level 22, Skill Swap at level 25, Drill Run at level 30, Discharge at level 33, Guillotine at level 38, Aura Sphere at level 41, Wild Charge at level 46, DynamicPunch at level 49, SolarBeam at level 54, Focus Punch at level 57
359 Absol      : Foresight at level 1, Wrap at level 1, Echoed Voice at level 1, Rock Throw at level 1, Barrier at level 4, Glaciate at level 9, BubbleBeam at level 12, Mud Bomb at level 17, Mist Ball at level 20, Luster Purge at level 25, ThunderPunch at level 28, Relic Song at level 33, Drain Punch at level 36, Splash at level 41, Poison Jab at level 44, Attack Order at level 49, Lock-On at level 52, Mega Kick at level 57, Hydro Pump at level 60, Hi Jump Kick at level 65
360 Wynaut     : ThunderShock at level 1, Ice Shard at level 1, Arm Thrust at level 1, Acrobatics at level 1, Snarl at level 15, Chatter at level 15, Inferno at level 15, Eruption at level 15
361 Snorunt    : Pain Split at level 1, Acrobatics at level 1, Mud Shot at level 1, Flame Wheel at level 1, Lovely Kiss at level 4, Thunder Fang at level 10, Signal Beam at level 13, Energy Ball at level 19, Gear Grind at level 22, Bulk Up at level 28, Power Swap at level 31, Recover at level 37, Head Smash at level 40, Guard Swap at level 46
362 Glalie     : Leech Life at level 1, Growl at level 1, ViceGrip at level 1, DragonBreath at level 1, Rolling Kick at level 4, Crush Claw at level 10, Fiery Dance at level 13, Sheer Cold at level 19, Icicle Crash at level 22, Earthquake at level 28, Gyro Ball at level 31, Magma Storm at level 37, Psycho Boost at level 40, Overheat at level 51, Roar of Time at level 59
363 Spheal     : False Swipe at level 1, Minimize at level 1, AncientPower at level 1, Magical Leaf at level 1, Giga Drain at level 7, Mimic at level 13, Telekinesis at level 19, Razor Shell at level 25, Tail Whip at level 31, Tailwind at level 37, Tri Attack at level 37, Iron Tail at level 43, Flare Blitz at level 49
364 Sealeo     : Minimize at level 1, Shock Wave at level 1, String Shot at level 1, Facade at level 1, Horn Leech at level 7, Lunar Dance at level 13, Energy Ball at level 19, Pain Split at level 25, Autotomize at level 31, Skull Bash at level 32, Spite at level 39, Healing Wish at level 39, Hydro Pump at level 47, Roar of Time at level 55
365 Walrein    : Bind at level 1, Whirlpool at level 1, Frost Breath at level 1, Fire Pledge at level 1, Sky Drop at level 1, Frustration at level 7, DragonBreath at level 13, Horn Attack at level 19, Night Slash at level 25, Retaliate at level 31, Rock Slide at level 32, FeatherDance at level 39, Blaze Kick at level 39, Jump Kick at level 44, Cross Chop at level 52, Shadow Force at level 65
366 Clamperl   : Round at level 1, Extrasensory at level 1, Power Swap at level 1, Dragon Claw at level 1, Earthquake at level 51
367 Huntail    : Rapid Spin at level 1, Gust at level 1, Pound at level 1, Assurance at level 1, Acrobatics at level 6, Roost at level 10, Glaciate at level 15, Rain Dance at level 19, Slash at level 24, Air Slash at level 28, Extrasensory at level 33, Cross Chop at level 37, Hurricane at level 42, Sky Attack at level 46, Giga Impact at level 51
368 Gorebyss   : Helping Hand at level 1, Bulldoze at level 1, Sludge at level 1, Signal Beam at level 1, Crunch at level 6, Psychic at level 10, Attack Order at level 15, Thunderbolt at level 19, Aqua Ring at level 24, Stockpile at level 28, Nature Power at level 33, Flash at level 37, Ice Beam at level 42, Fire Blast at level 46, Eruption at level 51
369 Relicanth  : Sand Tomb at level 1, Defog at level 1, Smack Down at level 1, Air Cutter at level 1, AncientPower at level 8, Sludge at level 15, Power Gem at level 22, Mist Ball at level 29, Lava Plume at level 36, Roost at level 43, Drill Peck at level 50, Cotton Guard at level 57, Sludge Bomb at level 64, Aqua Tail at level 71, Mega Kick at level 78
370 Luvdisc    : Quash at level 1, Stored Power at level 1, Quick Guard at level 1, Mega Drain at level 1, Magic Coat at level 4, Flail at level 7, Reflect at level 9, Aqua Jet at level 14, Confusion at level 17, Sky Drop at level 22, Lava Plume at level 27, Poison Jab at level 31, Nightmare at level 37, Hurricane at level 40, Magma Storm at level 46, Ice Burn at level 51, V-create at level 55
371 Bagon      : U-turn at level 1, Substitute at level 1, Psycho Cut at level 1, Tri Attack at level 1, Magnet Rise at level 5, Sky Uppercut at level 10, Aura Sphere at level 16, Sleep Talk at level 20, Stone Edge at level 25, Superpower at level 31, Minimize at level 35, Poison Gas at level 40, Focus Blast at level 46, Tailwind at level 50, Metronome at level 55
372 Shelgon    : Stored Power at level 1, Slack Off at level 1, ViceGrip at level 1, AncientPower at level 1, Block at level 5, Embargo at level 10, Shock Wave at level 16, Glare at level 20, Glaciate at level 25, Crush Claw at level 30, Blizzard at level 32, Pain Split at level 37, Magma Storm at level 43, SolarBeam at level 50, Water Spout at level 55, Foresight at level 61
373 Salamence  : Constrict at level 1, Quick Attack at level 1, Echoed Voice at level 1, Pin Missile at level 1, Razor Leaf at level 1, Fury Swipes at level 1, Calm Mind at level 5, Confuse Ray at level 10, Cross Poison at level 16, Block at level 20, Double Hit at level 25, Air Slash at level 30, Jump Kick at level 32, Egg Bomb at level 37, Double-Edge at level 43, Punishment at level 50, Night Shade at level 53, Megahorn at level 61, Rock Wrecker at level 70, Gastro Acid at level 80
374 Beldum     : Ice Shard at level 1, ViceGrip at level 1, Razor Wind at level 1, Fire Blast at level 1
375 Metang     : Fury Cutter at level 1, Curse at level 1, Roost at level 1, Ember at level 1, Rock Tomb at level 20, Horn Leech at level 20, Psyshock at level 23, Mega Punch at level 26, X-Scissor at level 29, Searing Shot at level 32, Meteor Mash at level 35, Draco Meteor at level 38, Leaf Storm at level 41, Overheat at level 44, Trick Room at level 47, Hyper Beam at level 50
376 Metagross  : Rollout at level 1, Heal Bell at level 1, Echoed Voice at level 1, Air Cutter at level 1, Splash at level 20, Shadow Punch at level 20, Detect at level 23, Venoshock at level 26, Secret Power at level 29, PoisonPowder at level 32, Lava Plume at level 35, Leaf Blade at level 38, Fusion Flare at level 41, Lunar Dance at level 44, Seed Flare at level 45, Iron Defense at level 53, Spite at level 62
377 Regirock   : Absorb at level 1, Round at level 1, Mist Ball at level 1, Dizzy Punch at level 1, Razor Shell at level 9, Tri Attack at level 17, Fiery Dance at level 25, Aqua Tail at level 33, Crabhammer at level 41, Thunderbolt at level 49, Gastro Acid at level 57, Light Screen at level 65, Wood Hammer at level 73, Superpower at level 81, Sky Attack at level 89
378 Regice     : Twister at level 1, Entrainment at level 1, Quick Attack at level 1, Double Hit at level 1, Steel Wing at level 9, U-turn at level 17, Crush Claw at level 25, Psyshock at level 33, Poison Jab at level 41, Miracle Eye at level 49, Minimize at level 57, Secret Sword at level 65, Flamethrower at level 73, Foul Play at level 81, Egg Bomb at level 89
379 Registeel  : Smog at level 1, Mimic at level 1, Fury Cutter at level 1, Needle Arm at level 1, Sheer Cold at level 9, Wake-Up Slap at level 17, Ice Fang at level 25, Flame Burst at level 33, Howl at level 41, Quiver Dance at level 41, Autotomize at level 49, Power Gem at level 57, Dragon Pulse at level 65, Spore at level 73, Thunderbolt at level 73, Flamethrower at level 81, Roar of Time at level 89
380 Latias     : Poison Sting at level 1, Pain Split at level 1, Mega Drain at level 1, Assurance at level 1, Milk Drink at level 5, Thunder Wave at level 10, Odor Sleuth at level 15, Chatter at level 20, Shadow Punch at level 25, Heavy Slam at level 30, Aurora Beam at level 35, Dizzy Punch at level 40, Iron Head at level 45, Kinesis at level 50, Rest at level 55, Drill Run at level 60, Blaze Kick at level 65, Searing Shot at level 70, Skull Bash at level 75, Psycho Shift at level 80, Last Resort at level 85
381 Latios     : Grass Knot at level 1, Growl at level 1, Wrap at level 1, Clamp at level 1, Pin Missile at level 5, Flame Charge at level 10, Water Pulse at level 15, Magnet Bomb at level 20, Acid Armor at level 25, Fire Fang at level 30, Poison Jab at level 35, Sludge Bomb at level 40, Swords Dance at level 45, Minimize at level 50, Take Down at level 55, Dragon Rush at level 60, Spikes at level 65, Seed Flare at level 70, Bolt Strike at level 75, Sky Attack at level 80, Roar of Time at level 85
382 Kyogre     : Ice Ball at level 1, ThunderShock at level 1, Mach Punch at level 1, DragonBreath at level 1, BubbleBeam at level 5, Glare at level 15, Psycho Cut at level 20, Night Shade at level 30, Dizzy Punch at level 35, Drain Punch at level 45, Tail Slap at level 50, Dig at level 60, Foul Play at level 65, Sacred Fire at level 75, Fusion Flare at level 80, Freeze Shock at level 90
383 Groudon    : Rollout at level 1, Tackle at level 1, Stockpile at level 1, Razor Wind at level 1, Heal Pulse at level 5, Telekinesis at level 15, Teeter Dance at level 20, Lava Plume at level 30, Odor Sleuth at level 35, Zen Headbutt at level 45, Techno Blast at level 50, Aqua Tail at level 60, Bug Buzz at level 65, Spit Up at level 75, Torment at level 80, Freeze Shock at level 90
384 Rayquaza   : Mud-Slap at level 1, Smog at level 1, Seismic Toss at level 1, Storm Throw at level 1, Air Cutter at level 5, Dragon Tail at level 15, Ominous Wind at level 20, Dizzy Punch at level 30, U-turn at level 35, Shadow Claw at level 45, Rock Polish at level 50, Giga Drain at level 60, Horn Leech at level 65, Iron Head at level 75, Eruption at level 80, Water Spout at level 90
385 Jirachi    : Incinerate at level 1, Safeguard at level 1, Rock Tomb at level 1, Covet at level 1, Sky Drop at level 5, Cotton Spore at level 10, Recycle at level 15, Ominous Wind at level 20, Magical Leaf at level 25, Drill Run at level 30, Extrasensory at level 35, Crunch at level 40, Psycho Shift at level 45, Drill Peck at level 50, Blaze Kick at level 55, Uproar at level 60, Skull Bash at level 65, Metal Burst at level 70
386 Deoxys     : Acid Spray at level 1, Weather Ball at level 1, Chatter at level 1, Wing Attack at level 1, Aurora Beam at level 9, Bulk Up at level 17, Night Slash at level 25, Giga Drain at level 33, Bullet Seed at level 41, Rage Powder at level 49, Energy Ball at level 57, Dragon Pulse at level 65, Uproar at level 73, Fusion Bolt at level 81, Block at level 89, SolarBeam at level 97
387 Turtwig    : Skill Swap at level 1, Protect at level 1, Mega Drain at level 1, Ember at level 1, Wing Attack at level 5, Drain Punch at level 9, Bug Buzz at level 13, Spacial Rend at level 17, Magnitude at level 21, Judgment at level 25, Leaf Storm at level 29, Doom Desire at level 33, Roar of Time at level 37, Camouflage at level 41, Harden at level 45
388 Grotle     : Poison Tail at level 1, Dragon Rage at level 1, Tail Whip at level 1, DragonBreath at level 1, Dragon Tail at level 5, Cross Poison at level 9, Blaze Kick at level 13, Leaf Blade at level 17, Spacial Rend at level 22, Taunt at level 27, Flare Blitz at level 32, Hi Jump Kick at level 37, Final Gambit at level 42, Ice Burn at level 47, Selfdestruct at level 52
389 Torterra   : Powder Snow at level 1, Magnet Bomb at level 1, Simple Beam at level 1, Flash Cannon at level 1, Zen Headbutt at level 1, Body Slam at level 5, Bug Buzz at level 9, Double Team at level 13, Haze at level 17, Trump Card at level 22, Hurricane at level 27, Curse at level 32, Confuse Ray at level 33, Ice Burn at level 39, Tail Whip at level 45, Hyper Beam at level 51, V-create at level 57
390 Chimchar   : Dragon Dance at level 1, ThunderShock at level 1, Amnesia at level 1, Grass Pledge at level 1, Magical Leaf at level 7, Water Sport at level 9, Avalanche at level 15, Ally Switch at level 17, Brine at level 23, Blaze Kick at level 25, Secret Sword at level 31, Inferno at level 33, Jump Kick at level 39, Hammer Arm at level 41, Nightmare at level 47
391 Monferno   : Clamp at level 1, Dragon Rage at level 1, Pound at level 1, Frost Breath at level 1, Clear Smog at level 7, Poison Fang at level 9, Flash at level 14, Heart Stamp at level 16, Will-O-Wisp at level 19, Cross Poison at level 26, Sandstorm at level 29, Lava Plume at level 36, Fiery Dance at level 39, Lunar Dance at level 46, Bonemerang at level 49, Blizzard at level 56
392 Infernape  : Absorb at level 1, Fissure at level 1, Ice Ball at level 1, Echoed Voice at level 1, Bullet Punch at level 7, Snarl at level 9, Magnet Bomb at level 14, SmokeScreen at level 16, Water Pulse at level 19, Force Palm at level 26, Cross Poison at level 29, Lava Plume at level 36, Dark Pulse at level 42, Blizzard at level 52, Focus Blast at level 58, Blue Flare at level 68
393 Piplup     : Snore at level 1, Fire Pledge at level 1, Low Sweep at level 1, Wake-Up Slap at level 1, Octazooka at level 4, Bulk Up at level 8, Milk Drink at level 11, Crush Claw at level 15, Sketch at level 18, Heal Pulse at level 22, Zen Headbutt at level 25, Shell Smash at level 29, Earth Power at level 32, Stun Spore at level 36, Gunk Shot at level 39, Tailwind at level 43
394 Prinplup   : Block at level 1, Healing Wish at level 1, Encore at level 1, Aqua Jet at level 1, DoubleSlap at level 4, Shadow Punch at level 8, Guard Split at level 11, Autotomize at level 15, Switcheroo at level 16, Luster Purge at level 19, Ice Punch at level 24, X-Scissor at level 28, Supersonic at level 33, Earth Power at level 37, Hammer Arm at level 42, Gunk Shot at level 46, Petal Dance at level 51
395 Empoleon   : Trick Room at level 1, Miracle Eye at level 1, Fire Spin at level 1, Smack Down at level 1, SmokeScreen at level 4, Substitute at level 8, Conversion 2 at level 11, Grass Pledge at level 15, Clear Smog at level 16, Mud Bomb at level 19, Headbutt at level 24, Signal Beam at level 28, Tri Attack at level 33, Defog at level 36, Iron Tail at level 39, Flail at level 46, Skull Bash at level 52, Fire Blast at level 59
396 Starly     : Cotton Spore at level 1, Twineedle at level 1, Circle Throw at level 1, Night Slash at level 1, Drill Run at level 5, Crunch at level 9, Hidden Power at level 13, Night Daze at level 17, Earth Power at level 21, Heat Wave at level 25, Jump Kick at level 29, Power Whip at level 33, Hydro Cannon at level 37, Horn Drill at level 41
397 Staravia   : Powder Snow at level 1, Fire Pledge at level 1, Grudge at level 1, Icy Wind at level 1, Memento at level 5, SmellingSalt at level 9, Wish at level 13, Dizzy Punch at level 18, Calm Mind at level 23, Howl at level 28, Ice Beam at level 33, Megahorn at level 38, Blast Burn at level 43, Head Smash at level 48
398 Staraptor  : Fury Attack at level 1, Air Cutter at level 1, Fury Swipes at level 1, Bite at level 1, Silver Wind at level 5, Cross Poison at level 9, Ice Punch at level 13, Poison Jab at level 18, Crabhammer at level 23, Inferno at level 28, Bulk Up at level 33, Hurricane at level 34, Fire Blast at level 41, Hi Jump Kick at level 49, Last Resort at level 57
399 Bidoof     : Growth at level 1, Fire Pledge at level 1, Poison Fang at level 1, Sky Drop at level 1, Flash at level 5, Disable at level 9, Bite at level 13, BubbleBeam at level 17, Chip Away at level 21, Psycho Cut at level 25, Psyshock at level 29, Baton Pass at level 33, Hyper Voice at level 37, Bonemerang at level 41, Volt Tackle at level 45
400 Bibarel    : Mud-Slap at level 1, Echoed Voice at level 1, Smack Down at level 1, Karate Chop at level 1, Horn Attack at level 5, Spark at level 9, Mirror Shot at level 13, Thunder Fang at level 15, Stomp at level 18, Discharge at level 23, Psychic at level 28, Electro Ball at level 33, Volt Tackle at level 38, Psycho Boost at level 43, Trump Card at level 48, Spite at level 53
401 Kricketot  : Razor Wind at level 1, Wild Charge at level 1, Egg Bomb at level 1, Bolt Strike at level 1, Last Resort at level 6, Leer at level 16
402 Kricketune : Charge at level 1, Fire Pledge at level 1, Avalanche at level 1, Sky Drop at level 1, Silver Wind at level 10, BubbleBeam at level 14, Thunder Fang at level 18, Headbutt at level 22, Light Screen at level 26, Horn Leech at level 30, Flash Cannon at level 34, Pain Split at level 38, Earth Power at level 42, Fire Blast at level 46, Soak at level 50
403 Shinx      : Fire Spin at level 1, Pay Day at level 1, Vacuum Wave at level 1, Pound at level 1, Lock-On at level 5, Needle Arm at level 9, Force Palm at level 13, Shadow Claw at level 17, Leech Seed at level 21, Drain Punch at level 25, Howl at level 29, Water Sport at level 33, Sacred Sword at level 37, Blizzard at level 41, Focus Punch at level 45
404 Luxio      : Storm Throw at level 1, Poison Fang at level 1, Hail at level 1, Shock Wave at level 1, Double Kick at level 5, Miracle Eye at level 9, Rolling Kick at level 13, Heart Stamp at level 18, Steamroller at level 23, Charge at level 28, Night Slash at level 33, Grudge at level 38, Psycho Cut at level 43, Fissure at level 48, Power Whip at level 53
405 Luxray     : Hex at level 1, Shock Wave at level 1, Reflect at level 1, Steamroller at level 1, Fire Punch at level 5, Dual Chop at level 9, Sweet Scent at level 13, Sharpen at level 18, Milk Drink at level 23, Power Trick at level 28, Psycho Shift at level 35, Frustration at level 42, Blaze Kick at level 49, Aura Sphere at level 56, Aqua Tail at level 63
406 Budew      : DoubleSlap at level 1, Needle Arm at level 1, Brick Break at level 1, Focus Blast at level 1, Blue Flare at level 4, Howl at level 7, V-create at level 10, Milk Drink at level 13, Mimic at level 16
407 Roserade   : Shadow Punch at level 1, Bide at level 1, Return at level 1, Gear Grind at level 1, Superpower at level 1
408 Cranidos   : Trick Room at level 1, Faint Attack at level 1, Torment at level 1, Silver Wind at level 1, Rolling Kick at level 6, Horn Attack at level 10, Signal Beam at level 15, ExtremeSpeed at level 19, Aura Sphere at level 24, Simple Beam at level 28, Thunderbolt at level 33, Gear Grind at level 37, Blizzard at level 42, Cotton Guard at level 46
409 Rampardos  : Clear Smog at level 1, AncientPower at level 1, Chatter at level 1, SolarBeam at level 1, Hydro Pump at level 6, Blue Flare at level 10, Spore at level 15, Draco Meteor at level 19, Stealth Rock at level 24, Dark Void at level 28, Roar of Time at level 30, Stockpile at level 36, Sharpen at level 43, Baton Pass at level 51, Power Swap at level 58
